,state,date,cases_confirmed,total_deaths,new_deaths,total_US_deaths,death_ratio,total_US_rec,approx_state_rec_total
73,California,4/4/20,12844,289,24,10989,0.0262990262990263,14652,385.0
74,California,4/5/20,15040,348,59,12570,0.02768496420047733,17448,483.0
75,California,4/6/20,16034,380,32,14326,0.026525198938992044,19581,519.0
76,California,4/7/20,17360,432,52,16900,0.025562130177514793,21763,556.0
77,California,4/8/20,18902,495,63,19043,0.025993803497348106,23559,612.0
78,California,4/9/20,19718,544,49,21249,0.025601204762577063,25410,651.0
79,California,4/10/20,21094,583,39,23467,0.024843397110836492,28790,715.0
80,California,4/11/20,21722,604,21,25599,0.023594671666861987,31270,738.0
81,California,4/12/20,22810,640,36,27419,0.023341478536781063,32988,770.0
82,California,4/13/20,23949,714,74,29381,0.024301419284571663,43482,1057.0
83,California,4/14/20,25406,767,53,31824,0.024101307189542485,47763,1151.0
84,California,4/15/20,26699,860,93,34422,0.024984021846493523,52096,1302.0
85,California,4/16/20,27687,956,96,36582,0.02613307090919031,54703,1430.0
86,California,4/17/20,29470,1037,81,38673,0.026814573475034263,58545,1570.0
87,California,4/18/20,30805,1140,103,40646,0.02804704029916843,64840,1819.0
88,California,4/19/20,31660,1177,37,42584,0.027639489009956792,70337,1944.0
89,California,4/20/20,33946,1225,48,44780,0.02735596248325145,72329,1979.0
90,California,4/21/20,35793,1282,57,47318,0.027093283739803034,75204,2038.0
91,California,4/22/20,37739,1421,139,49746,0.028565110762674387,77366,2210.0
92,California,4/23/20,39946,1533,112,52202,0.029366690931381938,80203,2355.0
93,California,4/24/20,41803,1621,88,54362,0.029818623303042566,99079,2954.0
94,California,4/25/20,42771,1689,68,56068,0.030124134978954126,100372,3024.0
95,California,4/26/20,43888,1725,36,57418,0.030042843707548155,106988,3214.0
96,California,4/27/20,45387,1779,54,58882,0.030212968309500356,111424,3366.0
97,California,4/28/20,46714,1864,85,61106,0.03050436945635453,115936,3537.0
98,California,4/29/20,49310,1946,82,63625,0.030585461689587427,120720,3692.0
99,California,4/30/20,50712,2031,85,66028,0.03075967771248561,153947,4735.0
100,California,5/1/20,52536,2126,95,67916,0.03130337475705283,164015,5134.0
101,California,5/2/20,53833,2180,54,69621,0.03131239137616524,175382,5492.0
102,California,5/3/20,55323,2216,36,70739,0.03132642530994218,180152,5644.0
103,California,5/4/20,56419,2278,62,72063,0.03161122906345836,187180,5917.0
104,California,5/5/20,59039,2381,103,74350,0.03202420981842636,189791,6078.0
105,California,5/6/20,61245,2464,83,76699,0.032125581819841195,189910,6101.0
106,California,5/7/20,62869,2535,71,78618,0.03224452415477372,195036,6289.0
107,California,5/8/20,64564,2613,78,80367,0.03251334502967636,198993,6470.0
108,California,5/9/20,67285,2687,74,81899,0.032808703402971956,212534,6973.0
109,California,5/10/20,68231,2716,29,82810,0.03279797125950972,216169,7090.0
110,California,5/11/20,70039,2779,63,83810,0.033158334327645866,232733,7717.0
111,California,5/12/20,71770,2879,100,85428,0.03370089432036335,230287,7761.0
112,California,5/13/20,73603,2957,78,87170,0.03392222094757371,243430,8258.0
113,California,5/14/20,75580,3052,95,88951,0.03431102517116165,246414,8455.0
114,California,5/15/20,77427,3136,84,90621,0.03460566535350526,250747,8677.0
115,California,5/16/20,79471,3208,72,91893,0.03491016725974775,268376,9369.0
116,California,5/17/20,80809,3240,32,92656,0.034968053876705235,272265,9521.0
117,California,5/18/20,82320,3279,39,93832,0.03494543439338392,283178,9896.0
118,California,5/19/20,84635,3403,124,95333,0.03569592900674478,289392,10330.0
